scenEPR,scenCO2,scenH2,tech,generation,H2gene
3900,500,450,Biogas+CCS,27.95,71.275
3900,0,550,Biogas+CCS,0,50
3900,100,550,Biogas+CCS,0,50
3900,200,550,Biogas+CCS,0,50
3900,300,550,Biogas+CCS,27.75,51.625
3900,400,550,Biogas+CCS,27.8,51.6
3900,500,550,Biogas+CCS,27.94,59.425
3900,0,650,Biogas+CCS,0,50
3900,100,650,Biogas+CCS,0,50
3900,200,650,Biogas+CCS,0,50
3900,300,650,Biogas+CCS,27.75,51.65
3900,400,650,Biogas+CCS,27.8,51.625
3900,500,650,Biogas+CCS,27.88,51.625
4800,0,150,Biogas+CCS,0,50
4800,100,150,Biogas+CCS,0,64.675
4800,200,150,Biogas+CCS,0,72.05
4800,300,150,Biogas+CCS,27.65,73.975
4800,400,150,Biogas+CCS,27.94,85.375
4800,500,150,Biogas+CCS,27.99,86.375
4800,0,250,Biogas+CCS,0,50
4800,100,250,Biogas+CCS,0,50
4800,200,250,Biogas+CCS,0,63.7
4800,300,250,Biogas+CCS,27.71,66.05
4800,400,250,Biogas+CCS,27.69,77.425
4800,500,250,Biogas+CCS,27.98,84.075
4800,0,350,Biogas+CCS,0,50
4800,100,350,Biogas+CCS,0,50
4800,200,350,Biogas+CCS,0,51.55
4800,300,350,Biogas+CCS,27.73,57.6
4800,400,350,Biogas+CCS,27.72,64.625
4800,500,350,Biogas+CCS,27.9,75.525
4800,0,450,Biogas+CCS,0,50
4800,100,450,Biogas+CCS,0,50
4800,200,450,Biogas+CCS,0,51.6
4800,300,450,Biogas+CCS,27.73,51.575
4800,400,450,Biogas+CCS,27.71,53
4800,500,450,Biogas+CCS,27.93,63.575
4800,0,550,Biogas+CCS,0,50
4800,100,550,Biogas+CCS,0,50
4800,200,550,Biogas+CCS,0,50
4800,300,550,Biogas+CCS,27.73,51.575
4800,400,550,Biogas+CCS,27.71,51.575
4800,500,550,Biogas+CCS,27.82,56.9
4800,0,650,Biogas+CCS,0,50
4800,100,650,Biogas+CCS,0,50
4800,200,650,Biogas+CCS,0,50
4800,300,650,Biogas+CCS,27.73,51.575
4800,400,650,Biogas+CCS,27.71,51.6
4800,500,650,Biogas+CCS,27.74,51.7
3000,0,150,Ngas,102.4711,50
3000,100,150,Ngas,8.9585,51.95
3000,200,150,Ngas,0.4934,63.8
3000,300,150,Ngas,0.0399,67.175
3000,400,150,Ngas,0,68.9
3000,500,150,Ngas,0,61.1
3000,0,250,Ngas,101.6017,50
3000,100,250,Ngas,8.9739,50
3000,200,250,Ngas,0.9984,51.05
3000,300,250,Ngas,0.1881,60.775
3000,400,250,Ngas,0,62.775
3000,500,250,Ngas,0,59.3
3000,0,350,Ngas,99.8926,50
3000,100,350,Ngas,9.1409,50
3000,200,350,Ngas,1.0081,51.05
3000,300,350,Ngas,0.4104,51.075
3000,400,350,Ngas,0,59.825
3000,500,350,Ngas,0,59.75
3000,0,450,Ngas,119.2163,50
3000,100,450,Ngas,9.154,50
3000,200,450,Ngas,1.2093,50
3000,300,450,Ngas,0.4788,51.075
3000,400,450,Ngas,0,53.2
3000,500,450,Ngas,0,59.275
3000,0,550,Ngas,124.3599,50
3000,100,550,Ngas,9.1785,50
3000,200,550,Ngas,1.2133,50
3000,300,550,Ngas,0.5016,51.125
3000,400,550,Ngas,0,51.3
3000,500,550,Ngas,0,51.95
3000,0,650,Ngas,148.6651,50
3000,100,650,Ngas,9.203,50
3000,200,650,Ngas,1.2076,50
3000,300,650,Ngas,0.4788,51.2
3000,400,650,Ngas,0,51.375
3000,500,650,Ngas,0,51.6
3900,0,150,Ngas,102.702,50
3900,100,150,Ngas,9.7706,64.675
3900,200,150,Ngas,1.3893,72.05
3900,300,150,Ngas,0,80.45
3900,400,150,Ngas,0,84.925
3900,500,150,Ngas,0,85.175
3900,0,250,Ngas,101.6069,50
3900,100,250,Ngas,9.2325,50
3900,200,250,Ngas,1.7467,63.725
3900,300,250,Ngas,0.1938,72.075
3900,400,250,Ngas,0,79.65
